timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-05-04,3.4200,3.5100,3.3700,3.5000,3.5000,5600,0.0000,1.0000
2018-05-03,3.4500,3.4500,3.4400,3.4400,3.4400,515,0.0000,1.0000
2018-05-02,3.5000,3.7500,3.3000,3.4300,3.4300,20405,0.0000,1.0000
2018-05-01,3.4900,3.5100,3.4900,3.4900,3.4900,2600,0.0000,1.0000
2018-04-30,3.6400,3.6400,3.3800,3.5500,3.5500,4300,0.0000,1.0000
2018-04-27,3.6400,3.6400,3.5100,3.6400,3.6400,8388,0.0000,1.0000
2018-04-26,3.5900,3.9000,3.5800,3.6600,3.6600,6000,0.0000,1.0000
2018-04-25,3.6950,3.7400,3.4500,3.5900,3.5900,23636,0.0000,1.0000
2018-04-24,3.6000,3.6000,3.5000,3.5800,3.5800,8555,0.0000,1.0000
2018-04-23,3.9800,3.9800,3.5800,3.5900,3.5900,7820,0.0000,1.0000
2018-04-20,3.8000,3.8000,3.6000,3.8000,3.8000,21200,0.0000,1.0000
2018-04-19,3.8000,3.8000,3.5500,3.8000,3.8000,30136,0.0000,1.0000
2018-04-18,4.1400,4.2000,3.7500,3.8000,3.8000,31068,0.0000,1.0000
2018-04-17,4.0000,4.0000,3.7500,3.8900,3.8900,20859,0.0000,1.0000
2018-04-16,4.2000,4.3000,3.8200,4.0000,4.0000,7177,0.0000,1.0000
2018-04-13,4.3000,4.4000,4.0000,4.2000,4.2000,22444,0.0000,1.0000
2018-04-12,5.0000,5.0000,4.3000,4.4500,4.4500,9500,0.0000,1.0000
2018-04-11,4.5000,4.5000,4.4000,4.4700,4.4700,15800,0.0000,1.0000
2018-04-10,5.0000,5.0000,5.0000,5.0000,5.0000,1500,0.0000,1.0000
2018-04-09,4.7900,4.7900,4.5000,4.6300,4.6300,9400,0.0000,1.0000
2018-04-06,4.8300,4.8400,4.7500,4.7900,4.7900,3700,0.0000,1.0000
2018-04-05,4.9500,4.9500,4.6000,4.8000,4.8000,5900,0.0000,1.0000
2018-04-04,4.9000,4.9500,4.5000,4.9000,4.9000,3300,0.0000,1.0000
2018-04-03,4.8900,4.9800,4.8500,4.9500,4.9500,2500,0.0000,1.0000
2018-04-02,4.8000,4.9000,4.7500,4.9000,4.9000,1879,0.0000,1.0000
2018-03-29,4.9000,4.9000,4.5000,4.7500,4.7500,8950,0.0000,1.0000
2018-03-28,5.0000,5.0000,5.0000,5.0000,5.0000,1500,0.0000,1.0000
2018-03-27,4.9000,5.0000,4.9000,5.0000,5.0000,1500,0.0000,1.0000
2018-03-26,5.0000,5.0000,4.9000,4.9000,4.9000,1600,0.0000,1.0000
2018-03-23,5.0000,5.0000,4.9000,5.0000,5.0000,8337,0.0000,1.0000
2018-03-22,5.0000,5.0000,5.0000,5.0000,5.0000,1500,0.0000,1.0000
2018-03-21,4.9500,5.0000,4.7000,5.0000,5.0000,14363,0.0000,1.0000
2018-03-20,5.2000,5.2000,4.8500,5.0000,5.0000,12700,0.0000,1.0000
2018-03-19,4.8500,5.1000,4.8500,5.0000,5.0000,19900,0.0000,1.0000
2018-03-16,4.5000,4.8500,4.5000,4.8300,4.8300,18693,0.0000,1.0000
2018-03-15,4.3900,4.5500,4.3900,4.5000,4.5000,3825,0.0000,1.0000
2018-03-14,4.4500,4.4900,4.3500,4.3500,4.3500,7596,0.0000,1.0000
2018-03-13,4.4400,4.4500,4.4400,4.4500,4.4500,1650,0.0000,1.0000
2018-03-12,4.5000,4.5000,4.5000,4.5000,4.5000,1200,0.0000,1.0000
2018-03-09,4.5000,4.5000,4.1500,4.4500,4.4500,11728,0.0000,1.0000
2018-03-08,4.4500,4.5500,4.4500,4.5500,4.5500,16500,0.0000,1.0000
2018-03-07,4.3900,4.7000,4.2000,4.2000,4.2000,7950,0.0000,1.0000
2018-03-06,4.5100,4.5200,4.3500,4.3500,4.3500,4238,0.0000,1.0000
2018-03-05,4.5500,4.5500,4.5500,4.5500,4.5500,3356,0.0000,1.0000
2018-03-02,4.4500,4.8500,4.4500,4.6000,4.6000,2539,0.0000,1.0000
2018-03-01,4.9000,4.9000,4.9000,4.9000,4.9000,265,0.0000,1.0000
2018-02-28,4.9000,4.9000,4.9000,4.9000,4.9000,2300,0.0000,1.0000
2018-02-27,4.4000,4.5000,4.2500,4.4500,4.4500,3000,0.0000,1.0000
2018-02-26,4.3000,4.8500,4.1000,4.8500,4.8500,11260,0.0000,1.0000
2018-02-23,4.3500,4.5000,4.3500,4.5000,4.5000,5400,0.0000,1.0000
2018-02-22,4.5100,4.7500,4.4500,4.5833,4.5833,3227,0.0000,1.0000
2018-02-21,4.0000,4.9900,4.0000,4.7500,4.7500,10972,0.0000,1.0000
2018-02-20,4.3800,4.4000,4.2500,4.4000,4.4000,5300,0.0000,1.0000
2018-02-16,4.6500,4.8500,4.2800,4.5000,4.5000,22922,0.0000,1.0000
2018-02-15,4.8500,4.8500,4.5300,4.6000,4.6000,14955,0.0000,1.0000
2018-02-14,4.6500,4.9000,4.6000,4.6000,4.6000,10508,0.0000,1.0000
2018-02-13,4.7500,4.8000,4.7000,4.7500,4.7500,5780,0.0000,1.0000
2018-02-12,4.9900,5.0000,4.5600,5.0000,5.0000,43128,0.0000,1.0000
2018-02-09,4.9000,5.0000,4.5500,4.9900,4.9900,4007,0.0000,1.0000
2018-02-08,4.9500,4.9800,4.8500,4.9000,4.9000,7200,0.0000,1.0000
2018-02-07,4.9000,5.2500,4.5500,5.0000,5.0000,16100,0.0000,1.0000
2018-02-05,4.7500,4.9000,4.7500,4.8900,4.8900,900,0.0000,1.0000
2018-02-02,4.9800,4.9800,4.9800,4.9800,4.9800,100,0.0000,1.0000
2018-02-01,4.9900,5.0000,4.8000,4.9800,4.9800,7711,0.0000,1.0000
2018-01-31,5.0000,5.0000,4.8500,4.9900,4.9900,3400,0.0000,1.0000
2018-01-30,5.0000,5.0000,4.7000,5.0000,5.0000,1740,0.0000,1.0000
2018-01-29,4.8600,5.0000,4.5200,4.6900,4.6900,15850,0.0000,1.0000
2018-01-26,4.7500,5.0000,4.6000,5.0000,5.0000,3000,0.0000,1.0000
2018-01-25,5.1000,5.1000,4.9500,5.0000,5.0000,1700,0.0000,1.0000
2018-01-24,4.7500,5.0000,4.7000,5.0000,5.0000,13666,0.0000,1.0000
2018-01-23,4.8500,4.8500,4.5100,4.7500,4.7500,11300,0.0000,1.0000
2018-01-22,4.7000,4.7000,4.7000,4.7000,4.7000,800,0.0000,1.0000
2018-01-19,4.9000,4.9000,4.7000,4.7000,4.7000,7400,0.0000,1.0000
2018-01-17,5.0000,5.0000,4.6500,4.6500,4.6500,4000,0.0000,1.0000
2018-01-12,4.9500,5.0000,4.5100,4.5100,4.5100,5500,0.0000,1.0000
2018-01-11,4.9500,4.9500,4.9500,4.9500,4.9500,2900,0.0000,1.0000
2018-01-10,4.9000,5.0000,4.5500,4.9500,4.9500,14363,0.0000,1.0000
2018-01-09,5.0000,5.0000,5.0000,5.0000,5.0000,802,0.0000,1.0000
2018-01-08,4.9500,5.0000,4.9500,5.0000,5.0000,2100,0.0000,1.0000
2018-01-05,5.0000,5.0000,4.9000,4.9000,4.9000,3200,0.0000,1.0000
2018-01-04,4.9500,4.9500,4.9500,4.9500,4.9500,750,0.0000,1.0000
2018-01-03,4.9425,5.0900,4.6900,5.0000,5.0000,8688,0.0000,1.0000
2017-12-29,5.0000,5.0000,4.7500,4.7500,4.7500,6600,0.0000,1.0000
2017-12-26,5.0000,5.0000,4.7500,5.0000,5.0000,32050,0.0000,1.0000
2017-12-20,5.0900,5.0900,5.0900,5.0900,5.0900,437,0.0000,1.0000
2017-12-11,5.5000,5.5000,5.5000,5.5000,5.5000,300,0.0000,1.0000
2017-12-01,5.1000,5.2500,5.0000,5.0000,5.0000,4363,0.0000,1.0000
2017-11-30,5.2500,5.2500,5.2500,5.2500,5.2500,200,0.0000,1.0000
2017-11-28,5.2000,5.5000,5.2000,5.5000,5.5000,7263,0.0000,1.0000
2017-11-27,4.9000,5.0000,4.9000,5.0000,5.0000,300,0.0000,1.0000
2017-11-24,4.7500,4.7500,4.0000,4.0000,4.0000,500,0.0000,1.0000
2017-11-21,5.1500,5.1500,4.7500,4.7500,4.7500,1500,0.0000,1.0000
2017-11-20,5.1700,5.1700,4.5500,5.0000,5.0000,9800,0.0000,1.0000
2017-11-17,5.5000,5.5000,5.0000,5.0000,5.0000,18000,0.0000,1.0000
2017-11-16,5.5000,5.5000,5.5000,5.5000,5.5000,37,0.0000,1.0000
2017-11-14,6.0000,6.0000,5.5000,5.5000,5.5000,9400,0.0000,1.0000
2017-11-13,5.7500,5.7500,5.7500,5.7500,5.7500,100,0.0000,1.0000
2017-11-10,5.7500,5.7500,5.7500,5.7500,5.7500,1000,0.0000,1.0000
2017-11-09,5.7500,5.7500,5.7500,5.7500,5.7500,100,0.0000,1.0000
2017-11-08,6.0000,6.0000,6.0000,6.0000,6.0000,1000,0.0000,1.0000
2017-11-03,6.0000,6.1000,6.0000,6.1000,6.1000,1000,0.0000,1.0000
2017-11-01,6.0000,6.0000,6.0000,6.0000,6.0000,800,0.0000,1.0000
2017-10-20,5.9500,5.9500,5.9500,5.9500,5.9500,10000,0.0000,1.0000
2017-10-18,6.0000,6.0000,6.0000,6.0000,6.0000,2500,0.0000,1.0000
2017-10-17,5.9500,5.9500,5.7500,5.7500,5.7500,7200,0.0000,1.0000
2017-10-16,5.9500,5.9500,5.9500,5.9500,5.9500,1000,0.0000,1.0000
2017-10-13,6.2500,6.2500,6.2500,6.2500,6.2500,500,0.0000,1.0000
2017-10-12,6.5000,6.5000,6.2500,6.3000,6.3000,6800,0.0000,1.0000
2017-10-11,6.2500,6.2500,6.2500,6.2500,6.2500,1500,0.0000,1.0000
2017-10-10,6.6000,6.6000,6.6000,6.6000,6.6000,2037,0.0000,1.0000
2017-10-09,6.3000,6.3000,6.3000,6.3000,6.3000,2400,0.0000,1.0000
2017-10-06,6.3000,6.3000,6.3000,6.3000,6.3000,500,0.0000,1.0000
2017-10-05,6.2500,6.3000,6.2500,6.3000,6.3000,1700,0.0000,1.0000
2017-10-04,6.0500,6.5500,6.0500,6.2500,6.2500,2200,0.0000,1.0000
2017-10-03,6.3500,6.3500,6.3500,6.3500,6.3500,3000,0.0000,1.0000
2017-10-02,6.3000,6.3000,6.3000,6.3000,6.3000,1000,0.0000,1.0000
2017-09-29,6.4000,6.4000,6.0000,6.0000,6.0000,1100,0.0000,1.0000
2017-09-28,6.4523,6.4523,6.4500,6.4500,6.4500,2037,0.0000,1.0000
2017-09-27,6.4655,6.4655,6.4655,6.4655,6.4655,37,0.0000,1.0000
2017-09-26,6.3500,6.4655,6.3500,6.4655,6.4655,1100,0.0000,1.0000
2017-09-25,6.3000,6.3000,6.2800,6.2800,6.2800,38500,0.0000,1.0000
2017-09-22,6.4000,6.5000,6.4000,6.5000,6.5000,2100,0.0000,1.0000
2017-09-21,6.3000,6.3000,6.2500,6.3000,6.3000,78000,0.0000,1.0000
2017-09-20,6.1800,6.3000,6.1500,6.2500,6.2500,19200,0.0000,1.0000
2017-09-19,6.2400,6.5000,6.2000,6.2000,6.2000,9200,0.0000,1.0000
2017-09-18,6.5000,6.7500,6.2500,6.2500,6.2500,12200,0.0000,1.0000
2017-09-15,6.2500,6.3000,6.2500,6.2500,6.2500,19000,0.0000,1.0000
2017-09-14,6.0500,6.2500,6.0000,6.2500,6.2500,17600,0.0000,1.0000
2017-09-13,6.0000,6.0500,5.9000,5.9200,5.9200,26400,0.0000,1.0000
2017-09-12,6.0500,6.0500,6.0500,6.0500,6.0500,5000,0.0000,1.0000
2017-09-11,6.0000,6.0000,6.0000,6.0000,6.0000,0,0.0000,1.0000
2017-09-08,6.0500,6.0500,6.0000,6.0000,6.0000,11000,0.0000,1.0000
2017-09-07,6.0500,6.5000,6.0000,6.0500,6.0500,15000,0.0000,1.0000
2017-09-06,6.0500,6.0500,6.0500,6.0500,6.0500,0,0.0000,1.0000
2017-09-05,6.0500,6.0500,6.0500,6.0500,6.0500,1200,0.0000,1.0000
2017-09-01,6.0500,6.0500,6.0500,6.0500,6.0500,737,0.0000,1.0000
2017-08-31,6.0000,6.0000,5.9500,5.9500,5.9500,200,0.0000,1.0000
2017-08-30,6.0500,6.0500,6.0500,6.0500,6.0500,0,0.0000,1.0000
2017-08-29,6.0500,6.0500,6.0500,6.0500,6.0500,0,0.0000,1.0000
2017-08-28,6.0500,6.0500,6.0500,6.0500,6.0500,1500,0.0000,1.0000
2017-08-25,6.0500,6.0500,6.0500,6.0500,6.0500,0,0.0000,1.0000
2017-08-24,6.0500,6.0500,6.0500,6.0500,6.0500,500,0.0000,1.0000
2017-08-23,6.0500,6.0500,6.0500,6.0500,6.0500,2700,0.0000,1.0000
2017-08-22,6.0500,6.0500,6.0500,6.0500,6.0500,526,0.0000,1.0000
2017-08-21,6.0500,6.0500,6.0500,6.0500,6.0500,0,0.0000,1.0000
2017-08-18,6.0500,6.0500,6.0500,6.0500,6.0500,1320,0.0000,1.0000
2017-08-17,6.0500,6.0500,6.0500,6.0500,6.0500,161,0.0000,1.0000
2017-08-16,6.0500,6.0500,6.0500,6.0500,6.0500,0,0.0000,1.0000
2017-08-15,6.0500,6.0500,6.0500,6.0500,6.0500,450,0.0000,1.0000
2017-08-14,5.9500,5.9500,5.9500,5.9500,5.9500,0,0.0000,1.0000
2017-08-11,6.0000,6.0000,5.9500,5.9500,5.9500,200,0.0000,1.0000
2017-08-10,6.0000,6.0000,5.9500,5.9500,5.9500,10000,0.0000,1.0000
2017-08-09,6.0000,6.0000,6.0000,6.0000,6.0000,0,0.0000,1.0000
2017-08-08,6.0000,6.0000,6.0000,6.0000,6.0000,100,0.0000,1.0000
